hash,URL,links,dateAdded
-228261,donate.wikimedia.org/wiki/Special:FundraiserRedirector,0,2023-05-01
2895483,ar.wikipedia.org/wiki/%D8%A3%D9%84%D9%81%D8%A7%D8%A8%D8%AA,0,2023-05-01
3976033,az.wikipedia.org/wiki/Alphabet,0,2023-05-01
-595588,bn.wikipedia.org/wiki/%E0%A6%86%E0%A6%B2%E0%A6%AB%E0%A6%BE%E0%A6%AC%E0%A7%87%E0%A6%9F_%E0%A6%87%E0%A6%A8%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AA%E0%A7%8B%E0%A6%B0%E0%A7%87%E0%A6%9F%E0%A7%87%E0%A6%A1,0,2023-05-01
-563157,zh-min-nan.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
5748428,be.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
6641577,bg.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
7685258,bs.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-897992,ca.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
3623671,cs.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-169314,da.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
2776407,de.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
8729279,et.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
1528001,el.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
6793426,es.wikipedia.org/wiki/Alphabet,0,2023-05-01
-559092,eo.wikipedia.org/wiki/Alphabet_Inc,0,2023-05-01
-330709,fa.wikipedia.org/wiki/%D8%B4%D8%B1%DA%A9%D8%AA_%D8%A2%D9%84%D9%81%D8%A7%D8%A8%D8%AA,0,2023-05-01
4393776,fr.wikipedia.org/wiki/Alphabet_(entreprise),0,2023-05-01
-487327,gl.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-121425,ko.wikipedia.org/wiki/%EC%95%8C%ED%8C%8C%EB%B2%B3_(%EA%B8%B0%EC%97%85),0,2023-05-01
3528169,hy.wikipedia.org/wiki/Alphabet,0,2023-05-01
-463952,hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2%E0%A5%8D%E0%A4%AB%E0%A4%BE%E0%A4%AC%E0%A5%87%E0%A4%9F_%E0%A4%95%E0%A4%82%E0%A4%AA%E0%A4%A8%E0%A5%80,0,2023-05-01
-197266,id.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-646386,it.wikipedia.org/wiki/Alphabet_(azienda),0,2023-05-01
8781501,he.wikipedia.org/wiki/%D7%90%D7%9C%D7%A4%D7%90%D7%91%D7%99%D7%AA_(%D7%97%D7%91%D7%A8%D7%94),0,2023-05-01
-669055,kk.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-312372,sw.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
5179314,ku.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-346119,ky.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-106366,lv.wikipedia.org/wiki/Alphabet,0,2023-05-01
1956396,lt.wikipedia.org/wiki/Alphabet,0,2023-05-01
6254473,hu.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-127310,ml.wikipedia.org/wiki/%E0%B4%86%E0%B5%BD%E0%B4%AB%E0%B4%AC%E0%B5%86%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%8D_%E0%B4%87%E0%B5%BB%E0%B4%95%E0%B5%8B%E0%B5%BC%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B4%B1%E0%B5%87%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B4%A1%E0%B5%8D,0,2023-05-01
5506817,mr.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2%E0%A5%8D%E0%A4%AB%E0%A4%BE%E0%A4%AC%E0%A5%87%E0%A4%9F_%E0%A4%87%E0%A4%A8%E0%A5%8D%E0%A4%95%E0%A5%89%E0%A4%B0%E0%A5%8D%E0%A4%AA%E0%A5%8B%E0%A4%B0%E0%A5%87%E0%A4%9F%E0%A5%87%E0%A4%A1,0,2023-05-01
6328579,arz.wikipedia.org/wiki/%D8%A7%D9%84%D9%81%D8%A7%D8%A8%D8%AA,0,2023-05-01
-756879,ms.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-359831,nl.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-521311,ne.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2%E0%A5%8D%E0%A4%AB%E0%A4%BE%E0%A4%AC%E0%A5%87%E0%A4%9F_%E0%A4%A8%E0%A4%BF%E0%A4%97%E0%A4%AE,0,2023-05-01
7802277,ja.wikipedia.org/wiki/Alphabet,0,2023-05-01
-396392,no.wikipedia.org/wiki/Alphabet,0,2023-05-01
3280652,uz.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
2377687,pl.wikipedia.org/wiki/Alphabet_(holding),0,2023-05-01
8897757,pt.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
3906099,ro.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
4566715,ru.wikipedia.org/wiki/Alphabet,0,2023-05-01
-166562,sco.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-471905,simple.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
6750619,sk.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
4970134,sr.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
6399260,fi.wikipedia.org/wiki/Alphabet,0,2023-05-01
-847254,sv.wikipedia.org/wiki/Alphabet,0,2023-05-01
5967998,ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B2%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%AA%E0%AF%86%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AF%81,0,2023-05-01
2816122,th.wikipedia.org/wiki/%E0%B9%81%E0%B8%AD%E0%B8%A5%E0%B8%9F%E0%B8%B2%E0%B9%80%E0%B8%9A%E0%B8%95_%E0%B8%AD%E0%B8%B4%E0%B8%87%E0%B8%81%E0%B9%8C,0,2023-05-01
-356172,tr.wikipedia.org/wiki/Alphabet_(%C5%9Firket),0,2023-05-01
-656240,uk.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
-742463,ur.wikipedia.org/wiki/%D8%A7%DB%8C%D9%84%D9%81%D8%A7%D8%A8%DB%8C%D9%B9_%D8%A7%D9%86%DA%A9%D8%A7%D8%B1%D9%BE%D9%88%D8%B1%DB%8C%D9%B9%DA%88,0,2023-05-01
-568721,vi.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
8037012,wuu.wikipedia.org/wiki/Alphabet,0,2023-05-01
1591097,zh-yue.wikipedia.org/wiki/Alphabet,0,2023-05-01
-144550,diq.wikipedia.org/wiki/Alphabet_Inc.,0,2023-05-01
5394913,zh.wikipedia.org/wiki/Alphabet,0,2023-05-01
-461100,commons.wikimedia.org/wiki/Category:Alphabet_Inc.,0,2023-05-01
-428678,iw.toolforge.org/isin/,0,2023-05-01
2287046,iw.toolforge.org/isin/,0,2023-05-01
5445895,abc.xyz/,0,2023-05-01
-598172,abc.xyz/,0,2023-05-01
3500857,abc.com/,0,2023-05-01
9148260,web.archive.org/web/20230317154148/https://www.sec.gov/ix,0,2023-05-01
-662917,web.archive.org/web/20170709163139/https://www.sec.gov/Archives/edgar/data/1652044/000119312515336577/d82837d8k12b.htm,0,2023-05-01
-550494,web.archive.org/web/20210102151323/https://www.aol.com/article/2015/08/10/google-to-be-part-of-new-holding-company-alphabet/21220854/,0,2023-05-01
2908111,googleblog.blogspot.com/2015/08/google-alphabet.html,0,2023-05-01
6491727,web.archive.org/web/20180409234154/https://googleblog.blogspot.com/2015/08/google-alphabet.html,0,2023-05-01
6502241,web.archive.org/web/20150917083700/https://www.cnet.com/news/google-restructures-into-alphabet-soup-of-businesses/,0,2023-05-01
6479188,web.archive.org/web/20170126084151/http://beta.fortune.com/global500/list/filtered,0,2023-05-01
-393959,beta.fortune.com/global500/list/filtered,0,2023-05-01
-349138,web.archive.org/web/20220824084429/https://www.forbes.com/companies/alphabet/,0,2023-05-01
-368948,web.archive.org/web/20171122143410/https://www.wired.com/2015/08/new-company-called-alphabet-owns-google/,0,2023-05-01
4062476,web.archive.org/web/20201210083501/https://www.forbes.com/sites/jilliandonfro/2019/12/03/larry-page-steps-down-as-ceo-of-google-parent-alphabet/,0,2023-05-01
2447077,money.cnn.com/2015/08/10/technology/alphabet-google/index.html,0,2023-05-01
6375241,web.archive.org/web/20201008043001/https://money.cnn.com/2015/08/10/technology/alphabet-google/index.html,0,2023-05-01
-509423,web.archive.org/web/20161123054841/https://www.bloomberg.com/news/articles/2015-08-10/google-to-adopt-new-holding-structure-under-name-alphabet-,0,2023-05-01
-918204,web.archive.org/web/20150811102137/http://www.wired.com/2015/08/google-mean-alphabet-looks-like-now/,0,2023-05-01
8490644,web.archive.org/web/20190505215715/https://www.businessinsider.com/what-is-alphabet-googles-new-company-2015-8,0,2023-05-01
-703173,web.archive.org/web/20161128112043/http://www.wsj.com/articles/google-creates-new-company-alphabet-1439240645,0,2023-05-01
-345037,web.archive.org/web/20161019164806/http://www.nytimes.com/2015/08/11/technology/google-alphabet-restructuring.html,0,2023-05-01
-227736,web.archive.org/web/20200812125314/https://www.cnet.com/news/googles-larry-page-explains-the-new-alphabet/,0,2023-05-01
4149208,markets.businessinsider.com/news/stocks/google-founders-modeled-alphabet-warren-buffett-berkshire-hathaway-2019-12-1028737463,0,2023-05-01
6425241,web.archive.org/web/20191205132550/https://markets.businessinsider.com/news/stocks/google-founders-modeled-alphabet-warren-buffett-berkshire-hathaway-2019-12-1028737463,0,2023-05-01
-686349,web.archive.org/web/20150810231636/http://www.sec.gov/Archives/edgar/data/1288776/000128877615000039/a20150810form8-k.htm,0,2023-05-01
